topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
ring,GHZ,3,5,2,7.150000000000001,1.4300000000000004,0,0,PASS,0.75,0.5,21.39681092175864,21.396810921758643,1.1,0.17460317460317468,0.11262798634812293,0.0,0.0,0.46875,0.3333333333333333,0.13879399953952004
linear,GHZ,3,4,2,5.720000000000001,1.4300000000000002,0,0,PASS,0.6000000000000001,1.5,21.396810921758643,21.396810921758643,1.1,0.08380952380952383,0.11262798634812285,0.0,0.0,0.37500000000000006,1.0,0.13990610271412318
ring,GHZ,1,5,2,9.350000000000001,1.8700000000000003,0,0,PASS,0.25,0.5,16.36226717546249,16.362267175462495,1.7,0.3142857142857144,0.26279863481228666,0.0,0.0,0.15625,0.3333333333333333,0.14238110474565252
ring,GHZ,0,5,2,10.5,2.1000000000000005,0,0,PASS,0.0,0.5,14.570209341959455,14.570209341959458,2.1,0.3873015873015873,0.3412969283276451,0.0,0.0,0.0,0.3333333333333333,0.14532152337613088
star,GHZ,1,4,4,5.720000000000001,1.4300000000000002,0,0,PASS,1.2,0.0,21.396810921758643,21.396810921758643,1.3,0.08380952380952383,0.11262798634812285,0.0,0.0,0.7499999999999999,0.0,0.14615610271412316
linear,GHZ,1,4,2,7.48,1.87,0,0,PASS,0.2,1.5,16.362267175462495,16.362267175462495,1.7,0.1955555555555556,0.2627986348122866,0.0,0.0,0.125,1.0,0.14728090633295413
linear,GHZ,0,4,2,8.4,2.1,0,0,PASS,0.0,1.5,14.570209341959458,14.570209341959458,2.1,0.253968253968254,0.3412969283276449,0.0,0.0,0.0,1.0,0.15198819004279757
star,GHZ,2,4,4,5.28,1.32,0,0,PASS,1.4,0.0,23.17987849857187,23.17987849857187,1.1,0.05587301587301587,0.07508532423208188,0.0,0.0,0.8749999999999999,0.0,0.15368740180941542
star,GHZ,0,4,4,6.8,1.7000000000000002,0,0,PASS,1.0,0.0,17.998493893008742,17.998493893008746,1.7,0.15238095238095237,0.204778156996587,0.0,0.0,0.625,0.0,0.15494291402567853
ring,GHZ,2,5,2,8.999999999999998,1.7999999999999998,0,0,PASS,0.5,0.5,16.99857756561937,16.998577565619374,1.5,0.29206349206349197,0.23890784982935137,0.0,0.0,0.3125,0.3333333333333333,0.15779054255376776
